기준일,시간대구분,구분,총생활인구수
20240121,14,송파구,768501.8445
20240121,14,강동구,497692.9477
20240121,15,종로구,296450.9844
20240121,15,중구,251978.7
20240121,15,용산구,308824.5478
20240121,15,성동구,328623.3511
20240121,15,광진구,362124.057
20240121,15,동대문구,338963.4252
20240121,15,중랑구,345903.7185
20240121,15,성북구,396088.0193
20240121,15,강북구,271581.9075
20240121,15,도봉구,267297.1893
20240121,15,노원구,486733.1501
20240121,15,은평구,421838.1673
20240121,15,서대문구,335886.2607
20240121,15,마포구,464914.7523
20240121,15,양천구,366917.8205
20240121,15,강서구,537250.2969
20240121,15,구로구,383050.0562
20240121,15,금천구,199904.562
20240121,15,영등포구,494868.7502
20240121,15,동작구,353099.1543
20240121,15,관악구,450114.5052
20240121,15,서초구,552038.3691
20240121,15,강남구,775538.1325
20240121,15,송파구,771805.1907
20240121,15,강동구,498463.1986
20240121,16,종로구,287316.0921
20240121,16,중구,242794.2309
20240121,16,용산구,302430.0142
20240121,16,성동구,329922.0677
20240121,16,광진구,364846.5967
20240121,16,동대문구,336805.4704
20240121,16,중랑구,348291.668
20240121,16,성북구,397994.9501
20240121,16,강북구,274534.4979
20240121,16,도봉구,268022.1386
20240121,16,노원구,489663.7625
20240121,16,은평구,426312.7238
20240121,16,서대문구,335884.898
20240121,16,마포구,469934.7706
20240121,16,양천구,370708.0186
20240121,16,강서구,538891.8255
20240121,16,구로구,383782.247
20240121,16,금천구,199823.1378
20240121,16,영등포구,488440.8913
20240121,16,동작구,356106.4514
20240121,16,관악구,453758.0648
20240121,16,서초구,546168.1441
20240121,16,강남구,768731.6963
20240121,16,송파구,771601.6858
20240121,16,강동구,503020.196
20240121,17,종로구,273677.4336
20240121,17,중구,233184.2044
20240121,17,용산구,298299.2124
20240121,17,성동구,329564.065
20240121,17,광진구,368035.892
20240121,17,동대문구,336423.1821
20240121,17,중랑구,351696.7533
20240121,17,성북구,404653.3585
20240121,17,강북구,277343.9753
20240121,17,도봉구,268428.4906
20240121,17,노원구,493229.2795
20240121,17,은평구,431045.9615
20240121,17,서대문구,337242.0771
20240121,17,마포구,468824.8149
20240121,17,양천구,374764.573
20240121,17,강서구,543492.6456
20240121,17,구로구,384924.4304
20240121,17,금천구,200687.0552
20240121,17,영등포구,479307.0319
20240121,17,동작구,360865.738
20240121,17,관악구,457894.8849
20240121,17,서초구,538374.7136
20240121,17,강남구,755899.4857
20240121,17,송파구,773106.1678
20240121,17,강동구,509373.5601
20240121,18,종로구,259962.2767
20240121,18,중구,220163.246
20240121,18,용산구,290970.6572
20240121,18,성동구,327963.8875
20240121,18,광진구,372371.1751
